task,model,variant,noise_type,noise_level,clean_accuracy,variant_accuracy,accuracy_drop,accuracy_relative_drop_percent,clean_macro_f1,variant_macro_f1,macro_f1_drop,macro_f1_relative_drop_percent,clean_weighted_f1,variant_weighted_f1,weighted_f1_drop,weighted_f1_relative_drop_percent
sentiment,majority,clean,clean,none,0.5022109917877448,0.5022109917877448,0.0,0.0,0.22287636669470143,0.22287636669470143,0.0,0.0,0.33579288349138525,0.33579288349138525,0.0,0.0
sentiment,majority,mixed_light,mixed,light,0.5022109917877448,0.5022109917877448,0.0,0.0,0.22287636669470143,0.22287636669470143,0.0,0.0,0.33579288349138525,0.33579288349138525,0.0,0.0
sentiment,majority,mixed_no_accent,mixed,medium,0.5022109917877448,0.5022109917877448,0.0,0.0,0.22287636669470143,0.22287636669470143,0.0,0.0,0.33579288349138525,0.33579288349138525,0.0,0.0
sentiment,majority,no_accent,remove_diacritics,medium,0.5022109917877448,0.5022109917877448,0.0,0.0,0.22287636669470143,0.22287636669470143,0.0,0.0,0.33579288349138525,0.33579288349138525,0.0,0.0
sentiment,majority,teencode_light,teencode,light,0.5022109917877448,0.5022109917877448,0.0,0.0,0.22287636669470143,0.22287636669470143,0.0,0.0,0.33579288349138525,0.33579288349138525,0.0,0.0
sentiment,majority,typo_light,typo,light,0.5022109917877448,0.5022109917877448,0.0,0.0,0.22287636669470143,0.22287636669470143,0.0,0.0,0.33579288349138525,0.33579288349138525,0.0,0.0
sentiment,majority,typo_medium,typo,medium,0.5022109917877448,0.5022109917877448,0.0,0.0,0.22287636669470143,0.22287636669470143,0.0,0.0,0.33579288349138525,0.33579288349138525,0.0,0.0
sentiment,tfidf_char_svm,clean,clean,none,0.8752368919772584,0.8752368919772584,0.0,0.0,0.7387842592562812,0.7387842592562812,0.0,0.0,0.8765275526811909,0.8765275526811909,0.0,0.0
sentiment,tfidf_char_svm,mixed_light,mixed,light,0.8752368919772584,0.8644977890082123,0.010739102969046121,1.227,0.7387842592562812,0.7248298089551014,0.01395445030117981,1.8888,0.8765275526811909,0.8675964676368965,0.008931085044294407,1.0189
sentiment,tfidf_char_svm,mixed_no_accent,mixed,medium,0.8752368919772584,0.46967782691092863,0.40555906506632977,46.3371,0.7387842592562812,0.4110004826359039,0.32778377662037733,44.368,0.8765275526811909,0.5198132881003801,0.3567142645808108,40.6963
sentiment,tfidf_char_svm,no_accent,remove_diacritics,medium,0.8752368919772584,0.474415666456096,0.4008212255211624,45.7957,0.7387842592562812,0.414024354738369,0.3247599045179122,43.9587,0.8765275526811909,0.5228120042882902,0.35371554839290065,40.3542
sentiment,tfidf_char_svm,teencode_light,teencode,light,0.8752368919772584,0.8692356285533797,0.006001263423878744,0.6857,0.7387842592562812,0.7334577372017494,0.005326522054531768,0.721,0.8765275526811909,0.87165571559739,0.004871837083800901,0.5558
