task,variant,y_true_name,y_pred_name,count,total_wrong_in_variant,percent_within_wrong
sentiment,mixed_light,positive,negative,57,248,22.9839
sentiment,mixed_light,negative,positive,53,248,21.371
sentiment,mixed_light,neutral,positive,52,248,20.9677
sentiment,mixed_light,negative,neutral,31,248,12.5
sentiment,mixed_light,positive,neutral,28,248,11.2903
sentiment,mixed_light,neutral,negative,27,248,10.8871
sentiment,mixed_no_accent,negative,neutral,797,1989,40.0704
sentiment,mixed_no_accent,positive,neutral,620,1989,31.1714
sentiment,mixed_no_accent,negative,positive,291,1989,14.6305
sentiment,mixed_no_accent,positive,negative,235,1989,11.815
sentiment,mixed_no_accent,neutral,positive,34,1989,1.7094
sentiment,mixed_no_accent,neutral,negative,12,1989,0.6033
sentiment,no_accent,negative,neutral,792,1978,40.0404
sentiment,no_accent,positive,neutral,596,1978,30.1314
sentiment,no_accent,negative,positive,315,1978,15.9252
sentiment,no_accent,positive,negative,229,1978,11.5774
sentiment,no_accent,neutral,positive,33,1978,1.6684
sentiment,no_accent,neutral,negative,13,1978,0.6572
