task,model,variant,label,precision,recall,f1_score,support
sentiment,phobert,clean,negative,0.9433566433566434,0.957416607523066,0.9503346248679112,1409.0
sentiment,phobert,clean,neutral,0.6258992805755396,0.5209580838323353,0.5686274509803921,167.0
sentiment,phobert,clean,positive,0.947401377582968,0.9515723270440252,0.9494822717288987,1590.0
sentiment,phobert,clean,accuracy,,,0.9314592545799115,
sentiment,phobert,clean,macro avg,0.838885767171717,0.8099823394664756,0.822814782525734,3166.0
sentiment,phobert,clean,weighted avg,0.9286427292174809,0.9314592545799115,0.9297722939992298,3166.0
topic,phobert,clean,lecturer,0.9382556131260794,0.9489082969432314,0.9435518888406427,2290.0
topic,phobert,clean,training_program,0.7764505119453925,0.7954545454545454,0.7858376511226253,572.0
topic,phobert,clean,facility,0.9241379310344827,0.9241379310344827,0.9241379310344827,145.0
topic,phobert,clean,others,0.6386554621848739,0.4779874213836478,0.5467625899280576,159.0
topic,phobert,clean,accuracy,,,0.8963992419456728,
topic,phobert,clean,macro avg,0.8193748795727072,0.7866220487039768,0.8000725152314521,3166.0
topic,phobert,clean,weighted avg,0.8933295215978779,0.8963992419456728,0.8942413814547615,3166.0
