task,model,variant,label,precision,recall,f1_score,support
sentiment,phobert,clean,negative,0.9433566433566434,0.957416607523066,0.9503346248679112,1409.0
sentiment,phobert,clean,neutral,0.6258992805755396,0.5209580838323353,0.5686274509803921,167.0
sentiment,phobert,clean,positive,0.947401377582968,0.9515723270440252,0.9494822717288987,1590.0
sentiment,phobert,clean,accuracy,,,0.9314592545799115,
sentiment,phobert,clean,macro avg,0.838885767171717,0.8099823394664756,0.822814782525734,3166.0
sentiment,phobert,clean,weighted avg,0.9286427292174809,0.9314592545799115,0.9297722939992298,3166.0
sentiment,phobert,typo_light,negative,0.9412997903563941,0.9559971611071683,0.9485915492957746,1409.0
sentiment,phobert,typo_light,neutral,0.6277372262773723,0.5149700598802395,0.5657894736842105,167.0
sentiment,phobert,typo_light,positive,0.9443053817271589,0.9490566037735849,0.9466750313676286,1590.0
sentiment,phobert,typo_light,accuracy,,,0.9292482627921668,
sentiment,phobert,typo_light,macro avg,0.8377807994536418,0.8066746082536643,0.8203520181158712,3166.0
sentiment,phobert,typo_light,weighted avg,0.9262694498883965,0.9292482627921668,0.9274370293548766,3166.0
sentiment,phobert,typo_medium,negative,0.9403927068723703,0.9517388218594748,0.946031746031746,1409.0
sentiment,phobert,typo_medium,neutral,0.6068965517241379,0.5269461077844312,0.5641025641025641,167.0
sentiment,phobert,typo_medium,positive,0.9448275862068966,0.9477987421383648,0.9463108320251178,1590.0
sentiment,phobert,typo_medium,accuracy,,,0.9273531269740998,
sentiment,phobert,typo_medium,macro avg,0.8307056149344683,0.8088278905940903,0.8188150473864759,3166.0
sentiment,phobert,typo_medium,weighted avg,0.925028714526237,0.9273531269740998,0.9260259258634856,3166.0
sentiment,phobert,teencode_light,negative,0.9426751592356688,0.9453513129879347,0.9440113394755493,1409.0
sentiment,phobert,teencode_light,neutral,0.5918367346938775,0.5209580838323353,0.554140127388535,167.0
sentiment,phobert,teencode_light,positive,0.9396014943960149,0.9490566037735849,0.9443053817271589,1590.0
sentiment,phobert,teencode_light,accuracy,,,0.9248262792166771,
sentiment,phobert,teencode_light,macro avg,0.824704462775187,0.8051220001979517,0.8141522828637479,3166.0
sentiment,phobert,teencode_light,weighted avg,0.9226255243672137,0.9248262792166771,0.923594104719241,3166.0
sentiment,phobert,mixed_light,negative,0.9403832505322924,0.9403832505322924,0.9403832505322924,1409.0
sentiment,phobert,mixed_light,neutral,0.5986394557823129,0.5269461077844312,0.5605095541401274,167.0
sentiment,phobert,mixed_light,positive,0.9347826086956522,0.9465408805031447,0.940625,1590.0
sentiment,phobert,mixed_light,accuracy,,,0.9216677195198989,
sentiment,phobert,mixed_light,macro avg,0.8246017716700859,0.8046234129399562,0.8138392682241399,3166.0
sentiment,phobert,mixed_light,weighted avg,0.9195442630896189,0.9216677195198989,0.920467102192483,3166.0
sentiment,phobert,no_accent,negative,0.5551470588235294,0.21433640880056778,0.3092677931387609,1409.0
sentiment,phobert,no_accent,neutral,0.08018555334658714,0.7245508982035929,0.14439140811455847,167.0
sentiment,phobert,no_accent,positive,0.6873315363881402,0.4811320754716981,0.5660377358490566,1590.0
sentiment,phobert,no_accent,accuracy,,,0.37523689197725835,
sentiment,phobert,no_accent,macro avg,0.44088804951941896,0.47333979415861965,0.3398989790341253,3166.0
sentiment,phobert,no_accent,weighted avg,0.5964783121125634,0.37523689197725835,0.42952358992029227,3166.0
sentiment,phobert,mixed_no_accent,negative,0.5651408450704225,0.22782114975159687,0.32473444613050073,1409.0
sentiment,phobert,mixed_no_accent,neutral,0.07867360208062418,0.7245508982035929,0.14193548387096774,167.0
sentiment,phobert,mixed_no_accent,positive,0.6933962264150944,0.46226415094339623,0.5547169811320755,1590.0
sentiment,phobert,mixed_no_accent,accuracy,,,0.3717624763108023,
sentiment,phobert,mixed_no_accent,macro avg,0.4457368911887137,0.47154539963286196,0.3404623037111813,3166.0
sentiment,phobert,mixed_no_accent,weighted avg,0.6038919590182216,0.3717624763108023,0.4305919331662435,3166.0
topic,phobert,clean,lecturer,0.9382556131260794,0.9489082969432314,0.9435518888406427,2290.0
topic,phobert,clean,training_program,0.7764505119453925,0.7954545454545454,0.7858376511226253,572.0
topic,phobert,clean,facility,0.9241379310344827,0.9241379310344827,0.9241379310344827,145.0
topic,phobert,clean,others,0.6386554621848739,0.4779874213836478,0.5467625899280576,159.0
topic,phobert,clean,accuracy,,,0.8963992419456728,
topic,phobert,clean,macro avg,0.8193748795727072,0.7866220487039768,0.8000725152314521,3166.0
topic,phobert,clean,weighted avg,0.8933295215978779,0.8963992419456728,0.8942413814547615,3166.0
topic,phobert,typo_light,lecturer,0.9369330453563715,0.9471615720524017,0.9420195439739414,2290.0
topic,phobert,typo_light,training_program,0.7718696397941681,0.7867132867132867,0.7792207792207793,572.0
topic,phobert,typo_light,facility,0.9115646258503401,0.9241379310344827,0.9178082191780822,145.0
topic,phobert,typo_light,others,0.628099173553719,0.4779874213836478,0.5428571428571428,159.0
topic,phobert,typo_light,accuracy,,,0.8935565382185723,
topic,phobert,typo_light,macro avg,0.8121166211386497,0.7840000527959547,0.7954764213074864,3166.0
topic,phobert,typo_light,weighted avg,0.8904392757964926,0.8935565382185723,0.8914515220814021,3166.0
topic,phobert,typo_medium,lecturer,0.9362723701440419,0.9366812227074236,0.9364767518009168,2290.0
topic,phobert,typo_medium,training_program,0.7520938023450586,0.784965034965035,0.7681779298545766,572.0
topic,phobert,typo_medium,facility,0.9225352112676056,0.903448275862069,0.9128919860627178,145.0
topic,phobert,typo_medium,others,0.5735294117647058,0.49056603773584906,0.5288135593220339,159.0
topic,phobert,typo_medium,accuracy,,,0.8853442830069488,
topic,phobert,typo_medium,macro avg,0.796107698880353,0.7789151428175941,0.7865900567600613,3166.0
topic,phobert,typo_medium,weighted avg,0.8841503994553443,0.8853442830069488,0.8845168134593224,3166.0
topic,phobert,teencode_light,lecturer,0.935132781889421,0.9379912663755459,0.9365598430346632,2290.0
topic,phobert,teencode_light,training_program,0.7462437395659433,0.7814685314685315,0.7634500426985482,572.0
topic,phobert,teencode_light,facility,0.9300699300699301,0.9172413793103448,0.9236111111111112,145.0
topic,phobert,teencode_light,others,0.5826771653543307,0.46540880503144655,0.5174825174825175,159.0
topic,phobert,teencode_light,accuracy,,,0.885028427037271,
topic,phobert,teencode_light,macro avg,0.7985309042199062,0.7755274955464672,0.78527587858171,3166.0
topic,phobert,teencode_light,weighted avg,0.8830736887902628,0.885028427037271,0.8836445977143965,3166.0
topic,phobert,mixed_light,lecturer,0.9318872017353579,0.9379912663755459,0.9349292709466812,2290.0
topic,phobert,mixed_light,training_program,0.7478559176672385,0.7622377622377622,0.754978354978355,572.0
topic,phobert,mixed_light,facility,0.9097222222222222,0.903448275862069,0.9065743944636678,145.0
topic,phobert,mixed_light,others,0.5597014925373134,0.4716981132075472,0.5119453924914675,159.0
topic,phobert,mixed_light,accuracy,,,0.881238155401137,
topic,phobert,mixed_light,macro avg,0.7872917085405331,0.768843854420731,0.7771068532200429,3166.0
topic,phobert,mixed_light,weighted avg,0.8789316286845499,0.881238155401137,0.879876264724856,3166.0
topic,phobert,no_accent,lecturer,0.8213333333333334,0.2689956331877729,0.4052631578947368,2290.0
topic,phobert,no_accent,training_program,0.10714285714285714,0.06818181818181818,0.08333333333333333,572.0
topic,phobert,no_accent,facility,0.28888888888888886,0.0896551724137931,0.1368421052631579,145.0
topic,phobert,no_accent,others,0.06527154957648232,0.8238993710691824,0.12096029547553093,159.0
topic,phobert,no_accent,accuracy,,,0.2523689197725837,
