scope,metric,percentile,value
test,phobert_subword_count,0,4.0
test,phobert_subword_count,25,10.0
test,phobert_subword_count,50,13.0
test,phobert_subword_count,75,20.0
test,phobert_subword_count,90,29.0
test,phobert_subword_count,95,37.0
test,phobert_subword_count,99,55.0
test,phobert_subword_count,100,102.0
train,phobert_subword_count,0,4.0
train,phobert_subword_count,25,10.0
train,phobert_subword_count,50,14.0
train,phobert_subword_count,75,20.0
train,phobert_subword_count,90,29.0
train,phobert_subword_count,95,36.0
train,phobert_subword_count,99,55.0
train,phobert_subword_count,100,163.0
validation,phobert_subword_count,0,4.0
validation,phobert_subword_count,25,10.0
validation,phobert_subword_count,50,13.0
validation,phobert_subword_count,75,19.0
validation,phobert_subword_count,90,27.0
validation,phobert_subword_count,95,35.0
validation,phobert_subword_count,99,52.180000000000064
validation,phobert_subword_count,100,164.0
all,phobert_subword_count,0,4.0
all,phobert_subword_count,25,10.0
all,phobert_subword_count,50,14.0
all,phobert_subword_count,75,20.0
all,phobert_subword_count,90,29.0
all,phobert_subword_count,95,36.0
all,phobert_subword_count,99,55.0
all,phobert_subword_count,100,164.0
