task,system,variant,clean_accuracy,variant_accuracy,accuracy_drop,accuracy_relative_drop_percent,clean_macro_f1,variant_macro_f1,macro_f1_drop,macro_f1_relative_drop_percent,clean_weighted_f1,variant_weighted_f1,weighted_f1_drop,weighted_f1_relative_drop_percent,variant_order
sentiment,oracle_router,clean,0.931459,0.931459,0.0,0.0,0.822815,0.822815,0.0,0.0,0.929772,0.929772,0.0,0.0,0
sentiment,oracle_router,typo_light,0.931459,0.929248,0.002211,0.2374,0.822815,0.820352,0.002463,0.2993,0.929772,0.927437,0.002335,0.2511,1
sentiment,oracle_router,typo_medium,0.931459,0.927353,0.004106,0.4408,0.822815,0.818815,0.004,0.4861,0.929772,0.926026,0.003746,0.4029,2
sentiment,oracle_router,teencode_light,0.931459,0.924826,0.006633,0.7121,0.822815,0.814152,0.008663,1.0528,0.929772,0.923594,0.006178,0.6645,3
sentiment,oracle_router,mixed_light,0.931459,0.921668,0.009791,1.0511,0.822815,0.813839,0.008976,1.0909,0.929772,0.920467,0.009305,1.0008,4
sentiment,oracle_router,no_accent,0.931459,0.474416,0.457043,49.0674,0.822815,0.414024,0.408791,49.682,0.929772,0.522812,0.40696,43.7699,5
sentiment,oracle_router,mixed_no_accent,0.931459,0.469678,0.461781,49.5761,0.822815,0.411,0.411815,50.0495,0.929772,0.519813,0.409959,44.0924,6
sentiment,phobert_only,clean,0.931459,0.931459,0.0,0.0,0.822815,0.822815,0.0,0.0,0.929772,0.929772,0.0,0.0,0
sentiment,phobert_only,typo_light,0.931459,0.929248,0.002211,0.2374,0.822815,0.820352,0.002463,0.2993,0.929772,0.927437,0.002335,0.2511,1
sentiment,phobert_only,typo_medium,0.931459,0.927353,0.004106,0.4408,0.822815,0.818815,0.004,0.4861,0.929772,0.926026,0.003746,0.4029,2
sentiment,phobert_only,teencode_light,0.931459,0.924826,0.006633,0.7121,0.822815,0.814152,0.008663,1.0528,0.929772,0.923594,0.006178,0.6645,3
sentiment,phobert_only,mixed_light,0.931459,0.921668,0.009791,1.0511,0.822815,0.813839,0.008976,1.0909,0.929772,0.920467,0.009305,1.0008,4
sentiment,phobert_only,no_accent,0.931459,0.375237,0.556222,59.7151,0.822815,0.339899,0.482916,58.6907,0.929772,0.429524,0.500248,53.8033,5
sentiment,phobert_only,mixed_no_accent,0.931459,0.371762,0.559697,60.0882,0.822815,0.340462,0.482353,58.6223,0.929772,0.430592,0.49918,53.6884,6
