task,system,variant,noise_type,noise_level,num_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,variant_order
sentiment,oracle_router,clean,clean,none,3166,0.931459,0.838886,0.809982,0.822815,0.928643,0.931459,0.929772,0
sentiment,oracle_router,typo_light,typo,light,3166,0.929248,0.837781,0.806675,0.820352,0.926269,0.929248,0.927437,1
sentiment,oracle_router,typo_medium,typo,medium,3166,0.927353,0.830706,0.808828,0.818815,0.925029,0.927353,0.926026,2
sentiment,oracle_router,teencode_light,teencode,light,3166,0.924826,0.824704,0.805122,0.814152,0.922626,0.924826,0.923594,3
sentiment,oracle_router,mixed_light,mixed,light,3166,0.921668,0.824602,0.804623,0.813839,0.919544,0.921668,0.920467,4
sentiment,oracle_router,no_accent,remove_diacritics,medium,3166,0.474416,0.458113,0.490398,0.414024,0.614779,0.474416,0.522812,5
sentiment,oracle_router,mixed_no_accent,mixed,medium,3166,0.469678,0.457614,0.48842,0.411,0.614751,0.469678,0.519813,6
sentiment,phobert_only,clean,clean,none,3166,0.931459,0.838886,0.809982,0.822815,0.928643,0.931459,0.929772,0
sentiment,phobert_only,typo_light,typo,light,3166,0.929248,0.837781,0.806675,0.820352,0.926269,0.929248,0.927437,1
sentiment,phobert_only,typo_medium,typo,medium,3166,0.927353,0.830706,0.808828,0.818815,0.925029,0.927353,0.926026,2
sentiment,phobert_only,teencode_light,teencode,light,3166,0.924826,0.824704,0.805122,0.814152,0.922626,0.924826,0.923594,3
sentiment,phobert_only,mixed_light,mixed,light,3166,0.921668,0.824602,0.804623,0.813839,0.919544,0.921668,0.920467,4
sentiment,phobert_only,no_accent,remove_diacritics,medium,3166,0.375237,0.440888,0.47334,0.339899,0.596478,0.375237,0.429524,5
sentiment,phobert_only,mixed_no_accent,mixed,medium,3166,0.371762,0.445737,0.471545,0.340462,0.603892,0.371762,0.430592,6
sentiment,robust_router,clean,clean,none,3166,0.931459,0.838864,0.809982,0.822803,0.928647,0.931459,0.929773,0
sentiment,robust_router,typo_light,typo,light,3166,0.929248,0.837759,0.806675,0.82034,0.926274,0.929248,0.927438,1
sentiment,robust_router,typo_medium,typo,medium,3166,0.927669,0.833327,0.809038,0.820027,0.925201,0.927669,0.926236,2
sentiment,robust_router,teencode_light,teencode,light,3166,0.924826,0.824677,0.805122,0.814139,0.922623,0.924826,0.923594,3
sentiment,robust_router,mixed_light,mixed,light,3166,0.921668,0.825718,0.804623,0.814312,0.919459,0.921668,0.920412,4
sentiment,robust_router,no_accent,remove_diacritics,medium,3166,0.475679,0.457774,0.491209,0.414838,0.61385,0.475679,0.523529,5
sentiment,robust_router,mixed_no_accent,mixed,medium,3166,0.469994,0.456365,0.486816,0.410707,0.612956,0.469994,0.519681,6
