scope,metric,percentile,value
test,whitespace_word_count,0,2.0
test,whitespace_word_count,25,8.0
test,whitespace_word_count,50,11.0
test,whitespace_word_count,75,17.0
test,whitespace_word_count,90,26.0
test,whitespace_word_count,95,34.0
test,whitespace_word_count,99,52.34999999999991
test,whitespace_word_count,100,98.0
train,whitespace_word_count,0,2.0
train,whitespace_word_count,25,8.0
train,whitespace_word_count,50,11.0
train,whitespace_word_count,75,17.0
train,whitespace_word_count,90,26.0
train,whitespace_word_count,95,33.0
train,whitespace_word_count,99,52.0
train,whitespace_word_count,100,159.0
validation,whitespace_word_count,0,2.0
validation,whitespace_word_count,25,8.0
validation,whitespace_word_count,50,11.0
validation,whitespace_word_count,75,17.0
validation,whitespace_word_count,90,25.0
validation,whitespace_word_count,95,31.0
validation,whitespace_word_count,99,46.0
validation,whitespace_word_count,100,161.0
all,whitespace_word_count,0,2.0
all,whitespace_word_count,25,8.0
all,whitespace_word_count,50,11.0
all,whitespace_word_count,75,17.0
all,whitespace_word_count,90,26.0
all,whitespace_word_count,95,33.0
all,whitespace_word_count,99,52.0
all,whitespace_word_count,100,161.0
